loader,question_id,keyword_coverage,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_10
pypdf,gd_001,0.0,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_002,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_003,1.0,0.0,1.0,1.0,1.0,0.5,0.5912352048230277
pypdf,gd_004,0.2,0.0,0.0,0.0,1.0,0.1111111111111111,0.3010299956639812
pypdf,gd_005,0.75,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_007,0.6666666666666666,0.0,1.0,1.0,1.0,0.3333333333333333,0.6039071644781281
pypdf,gd_008,0.4,1.0,1.0,1.0,1.0,1.0,0.8385465274895063
pypdf,gd_009,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_010,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8772153153380493
pypdf,gd_011,1.0,0.0,1.0,1.0,1.0,0.5,0.725124396546942
pypdf,gd_012,0.75,1.0,1.0,1.0,1.0,1.0,0.9325210919548239
pypdf,gd_013,0.6,0.0,1.0,1.0,1.0,0.5,0.6340499455108034
pypdf,gd_014,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_015,1.0,1.0,1.0,1.0,1.0,1.0,0.9325210919548239
pypdf,gd_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_018,0.25,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_019,0.5,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_020,1.0,1.0,1.0,1.0,1.0,1.0,0.8421423592553552
pypdf,gd_021,0.5,1.0,1.0,1.0,1.0,1.0,0.9674679834891693
pypdf,gd_022,0.75,1.0,1.0,1.0,1.0,1.0,0.7737459235132745
pypdf,gd_023,0.75,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_024,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_025,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
pypdf,gd_026,0.75,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_027,1.0,0.0,0.0,0.0,1.0,0.125,0.31546487678572877
pypdf,gd_028,1.0,1.0,1.0,1.0,1.0,1.0,0.9609247825245573
pypdf,gd_029,0.75,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_030,1.0,1.0,1.0,1.0,1.0,1.0,1.0
