question_id,variant,user_input,retrieved_contexts,reference,llm_context_precision_with_reference,context_recall,retrieval_latency_ms
gd_001,stronger_reranker,What is IRS Publication 15-T used for?,"['at /pub/irs-irbs/irb99-04.pdf. Introduction This publication supplements Pub. 15, Employer’s T ax Guide. It describes how to figure withholding using the Wage Bracket Method or Percentage Method, describes the alternative methods for figuring withholding, and pro- vides the T ables for Withholding on Distributions of Indian Gaming Profits to T ribal Members. Although this publication may be used in certain situa- tions to figure federal income tax withholding on supple- mental wages, the methods of withholding described in this publication can’t be used if the 37% mandatory flat rate withholding applies or if the 22% optional flat rate withholding is used to figure federal income tax', '15 -T) on mobile devices as eBooks at /eBooks. IRS eBooks have been tested using Apple’s iBooks for iPad. Our eBooks haven’t been tested on other dedicated eBook readers, and eBook functionality may not operate as intended. Get a transcript of your return. Y ou can now access Form 940, Form 941, Form 943, Form 944, and Form 945 return transcripts for tax years 2023 and later using your IRS business tax account. For more information, go to /BusinessT ranscript. T o access your IRS business tax account, go to /BusinessAccount. Using direct deposit. The safest and easiest way to re- ceive a tax refund is to e-file and choose direct deposit, which securely and electronically transfers your', 'large print, audio, etc.). The Accessibility Helpline doesn’t have access to your IRS account. For help with tax law, refunds, or account-related issues, go to /LetUsHelp. Disasters. Go to /DisasterRelief to review the available disaster tax relief. Getting tax forms and publications. Go to / Forms to view, download, or print most of the forms, in- structions, and publications you may need. Or you can go to /OrderForms to place an order. Getting tax publications and instructions in eBook format. Download and view most tax publications and in- structions (including Pub. 15 -T) on mobile devices as eBooks at /eBooks. IRS eBooks have been tested using Apple’s iBooks for iPad. Our eBooks', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. How Can TAS Help Me? TAS can help you resolve problems that you haven’t been able to resolve with the IRS on your own. Always try to re- solve your problem with the IRS first, but if you can’t, then come to TAS. Our services are free. • TAS helps all taxpayers (and their representatives), in- cluding individuals, businesses, and exempt organiza- tions. Y ou may be eligible for TAS help if your IRS problem is causing financial difficulty, if you’ve tried and been unable to resolve your issue with the IRS, or', 'Systems With Forms W-4 From 2019 or Earlier ........................ 63 6. Alternative Methods for Figuring Withholding .......................... 66 7. Tables for Withholding on Distributions of Indian Gaming Profits to Tribal Members ... 67 How To Get Tax Help ....................... 68 Future Developments For the latest information about developments related to Pub. 15 -T , such as legislation enacted after it was published, go to /Pub15T. What’s New 2026 federal income tax withholding tables. The 2026 federal income tax withholding tables in this publication have been updated for changes made by P .L. 119 -21, commonly known as the One Big Beautiful Bill Act, includ- ing the permanent']",IRS Publication 15-T provides federal income tax withholding methods for use in 2026. It includes withholding tables and methods for figuring federal income tax withholding.,0.699999999965,1.0,1044.0559999997276
gd_002,stronger_reranker,What changed in the 2026 federal income tax withholding tables?,"['Systems With Forms W-4 From 2019 or Earlier ........................ 63 6. Alternative Methods for Figuring Withholding .......................... 66 7. Tables for Withholding on Distributions of Indian Gaming Profits to Tribal Members ... 67 How To Get Tax Help ....................... 68 Future Developments For the latest information about developments related to Pub. 15 -T , such as legislation enacted after it was published, go to /Pub15T. What’s New 2026 federal income tax withholding tables. The 2026 federal income tax withholding tables in this publication have been updated for changes made by P .L. 119 -21, commonly known as the One Big Beautiful Bill Act, includ- ing the permanent', 'updated for changes made by P .L. 119 -21, commonly known as the One Big Beautiful Bill Act, includ- ing the permanent extension of individual tax rates, the permanent extension of the increased standard deduc- tion, and the permanent termination of personal exemp- tions, which were all originally enacted by the T ax Cuts and Jobs Act (P .L. 115-97). 2026 Form W -4. Form W -4, Employee’s Withholding Certificate, has been updated for 2026 to account for new federal income tax deductions under P .L. 119-21 that are available to employees when they file their income tax re- turns. The 2026 Form W-4 was also updated to add a new checkbox below Step 4(c) for an employee to claim ex- emption from', 'The 2026 Form W-4 was also updated to add a new checkbox below Step 4(c) for an employee to claim ex- emption from federal income tax withholding. Previously, the employee wrote “Exempt” below Step 4(c). 2026 Form W-4P . Form W-4P , Withholding Certificate for Periodic Pension or Annuity Payments, has been updated for 2026 to account for new federal income tax deductions under P .L. 119-21 that are available to payees when they T (2026) Catalog Number 32112B Dec 3, 2025 Department of the T reasury Internal Revenue Service www.irs.gov', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. Tables for Withholding on Distributions of Indian Casino Profits to Tribal Members Tables for All Individuals (For Payments Made in 2026) Table 1—WEEKL Y DISTRIBUTION PERIOD Table 2—BIWEEKL Y DISTRIBUTION PERIOD If the amount of the payment is: The amount of income tax to withhold is: If the amount of the payment is: The amount of income tax to withhold is: Not over $310 $0 Not over $619 $0 Over— But not over— of excess over— Over— But not over— of excess over— $310 $548 10% ....... $310 $619 $1,096 10%', 'allowan- ces on a 2021 or earlier Form W-4P , tax will be withheld on a payment that is at least $2,690 per month. Choosing not to have income tax withheld. A payee who checks the box for “No withholding” on a 2026 or later Form W-4P below Step 4(c) shall have no federal income tax withheld from their periodic pension or annuity pay- ments. On a 2022 through 2025 Form W -4P , the payee would have made this election by writing “No Withholding” below Step 4(c). In the case of a payer that used the 2021 Form W -4P for 2022, a payee who checked the box of line 1 of the 2021 Form W -4P shall have no federal in- come tax withheld from their periodic pension or annuity payments. Regardless of the']","The 2026 federal income tax withholding tables were updated for changes made by P.L. 119-21, including the permanent extension of individual tax rates, the permanent extension of the increased standard deduction, and the permanent termination of personal exemptions.",0.9999999999666667,1.0,1633.9952000007543
gd_003,stronger_reranker,What are the main withholding methods covered by Publication 15-T?,"['at /pub/irs-irbs/irb99-04.pdf. Introduction This publication supplements Pub. 15, Employer’s T ax Guide. It describes how to figure withholding using the Wage Bracket Method or Percentage Method, describes the alternative methods for figuring withholding, and pro- vides the T ables for Withholding on Distributions of Indian Gaming Profits to T ribal Members. Although this publication may be used in certain situa- tions to figure federal income tax withholding on supple- mental wages, the methods of withholding described in this publication can’t be used if the 37% mandatory flat rate withholding applies or if the 22% optional flat rate withholding is used to figure federal income tax', 'Systems With Forms W-4 From 2019 or Earlier ........................ 63 6. Alternative Methods for Figuring Withholding .......................... 66 7. Tables for Withholding on Distributions of Indian Gaming Profits to Tribal Members ... 67 How To Get Tax Help ....................... 68 Future Developments For the latest information about developments related to Pub. 15 -T , such as legislation enacted after it was published, go to /Pub15T. What’s New 2026 federal income tax withholding tables. The 2026 federal income tax withholding tables in this publication have been updated for changes made by P .L. 119 -21, commonly known as the One Big Beautiful Bill Act, includ- ing the permanent', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. 6. Alternative Methods for Figuring Withholding Y ou may use various methods for figuring federal income tax withholding. The methods described next may be used instead of the Percentage Method and Wage Bracket Method discussed earlier in this publication. Use the method that best suits your payroll system and employ- ees. Caution: Employers must use a modified procedure to figure the amount of federal income tax withholding on the wages of nonresident alien employees. Before you use any of the alternative', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. 1. Percentage Method Tables for Automated Payroll Systems and Withholding on Periodic Payments of Pensions and Annuities If you’re an employer with an automated payroll system, use Worksheet 1A and the Percentage Method tables in this section to figure federal income tax withholding. This method works for Forms W -4 for all prior, current, and fu- ture years. This method also works for any amount of wa- ges. If the Form W -4 is from 2019 or earlier, this method works for any number of withholding allowances', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. 2026 Percentage Method Tables for Automated Payroll Systems and Withholding on Periodic Payments of Pensions and Annuities STANDARD Withholding Rate Schedules (Use these if the Form W-4 is from 2019 or earlier, or if the Form W-4 is from 2020 or later and the box in Step 2 of Form W-4 is NOT checked. Also, use these for Form W-4P from any year.) Form W-4, Step 2, Checkbox, Withholding Rate Schedules (Use these if the Form W-4 is from 2020 or later and the box in Step 2 of Form W-4 IS checked.) If the']","Publication 15-T covers the Percentage Method and Wage Bracket Method, including versions for automated payroll systems and manual payroll systems. It also includes alternative methods for figuring withholding.",0.7555555555303703,1.0,1794.8372999999265
gd_004,stronger_reranker,What information does an employee provide on Form W-4 from 2020 or later?,"['claimed on line 5 of an employee’s 2019 or earlier Form W-4 by $4,300 and enter the result in Step 4(b) on a 2020 or later Form W-4. 4. Enter the additional amount of withholding requested by the employee on line 6 of their 2019 or earlier Form W-4 in Step 4(c) of a 2020 or later Form W-4. Caution: This computational bridge applies only for Forms W-4 that were in effect on or before December 31, 2019, and that continue in effect because an employee didn’t submit a 2020 or later Form W -4. If an employee is required, or chooses, to submit a new Form W -4, it doesn’t change the requirement that the employee must use the current year’s revision of Form W -4. Upon putting into effect a new Form', 'a web address where the payee can find them on . Employers are prohibited from accepting a substitute form developed by an employee, and an employee fur- nishing such form must be treated as failing to furnish a Form W-4. How To Treat 2019 and Earlier Forms W-4 as if They Were 2020 or Later Forms W-4 Employers may use an optional computational bridge to treat 2019 and earlier Forms W -4 as if they were 2020 or later Forms W -4 for purposes of figuring federal income tax withholding. This computational bridge allows you to use computational procedures and data fields for a 2020 and later Form W -4 to arrive at the equivalent withholding for an employee that would have applied using the', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. decrease the amount of taxes withheld and amounts to in- crease or decrease the amount of wage income subject to income tax withholding. Form W-4 contains 5 steps. Every Form W-4 employers receive from an employee in 2020 or later should show a completed Step 1 (name, address, social security number (SSN), and filing status) and a dated signature in Step 5. Employees complete Steps 2, 3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding', 'W-4P as if They Were 2022 or Later Forms W -4P, later, for an optional computational bridge. For more information about Form W -4R, see section 8 of Pub. 15-A, Employer’s Supplemental T ax Guide. Computational bridge for Form W -4. Employers may use an optional computational bridge to treat 2019 and earlier Forms W-4 as if they were 2020 or later Forms W -4 for purposes of figuring federal income tax withholding. See How T o T reat 2019 and Earlier Forms W-4 as if They Were 2020 or Later Forms W -4, later, for more informa- tion. Electronic submission of Forms W -4 and W -4P . Y ou may set up a system to electronically receive Form W -4 or Form W-4P from an employee or payee. For each form', 'a 2020 and later Form W -4 to arrive at the equivalent withholding for an employee that would have applied using the compu- tational procedures and data fields on a 2019 or earlier Form W-4. Y ou must make up to four adjustments to use this computational bridge. 1. Select the filing status in Step 1(c) of a 2020 or later Form W-4 that most accurately reflects the (2026) 5']","Beginning with the 2020 Form W-4, employees no longer request withholding adjustments using withholding allowances. Instead, they provide amounts to increase or decrease the amount of taxes withheld and amounts to increase or decrease the amount of wage income subject to income tax withholding.",0.7555555555303703,1.0,1839.4089000003078
gd_005,stronger_reranker,What are the five steps on Form W-4?,"['withholding. Form W -4P contains 5 steps. Every Form W-4P payers receive from a payee in 2022 or later should show a completed Step 1 (name, address, SSN, and filing status) and a dated signature in Step 5. Payees complete Steps 2, 3, and/or 4 only if relevant to their personal situa- tions. Steps 2, 3, and 4 show adjustments that affect with- holding calculations. For payees completing one or more of Steps 2, 3, and/or 4 on a 2022 or later Form W-4P , adjustments are as follows. Step 2. If the payee completes Step 2, the payer will use the amount in Step 2(b)(iii) from a 2022 or later Form W-4P in Worksheet 1B to figure income tax withholding. Tip: Consider advising payees to use the IRS T', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. decrease the amount of taxes withheld and amounts to in- crease or decrease the amount of wage income subject to income tax withholding. Form W-4 contains 5 steps. Every Form W-4 employers receive from an employee in 2020 or later should show a completed Step 1 (name, address, social security number (SSN), and filing status) and a dated signature in Step 5. Employees complete Steps 2, 3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding', 'W -4. In particular, electronic Form W-4 systems set up as a substitute to pa- per Forms W-4 must exactly replicate the text and instruc- tions from the face of the paper Form W -4 beginning with Step 1(c) through Step 4(c) (inclusive), and the “Exempt from withholding” section below Step 4(c), and must allow an employee access to and use of all parts of the calcula- tion shown on the paper Form W-4 and its worksheets. No pop-ups or hoverboxes within those steps are per- mitted for displaying such required information, and if the electronic system has toggles for those steps that limit the amount of text that is viewable, the toggles must be off as the default. If the electronic system', 'claimed on line 5 of an employee’s 2019 or earlier Form W-4 by $4,300 and enter the result in Step 4(b) on a 2020 or later Form W-4. 4. Enter the additional amount of withholding requested by the employee on line 6 of their 2019 or earlier Form W-4 in Step 4(c) of a 2020 or later Form W-4. Caution: This computational bridge applies only for Forms W-4 that were in effect on or before December 31, 2019, and that continue in effect because an employee didn’t submit a 2020 or later Form W -4. If an employee is required, or chooses, to submit a new Form W -4, it doesn’t change the requirement that the employee must use the current year’s revision of Form W -4. Upon putting into effect a new Form', 'steps that limit the amount of text that is viewable, the toggles must be off as the default. If the electronic system places steps on differ- ent pages, users must be required to go to each page be- fore they may electronically sign the form. The electronic system must also include a hyperlink to Form W -4 on and/or include the pages 2–5 instructions and worksheets in their entirety in the electronic system inter- face itself (inclusion of only some of this information re- quires a link to the form). Field required for claiming “Exempt.” The electronic Form W-4 system must provide a checkbox for employees who are eligible and want to claim an exemption from with- holding to certify that']","Form W-4 contains five steps. Every Form W-4 received from an employee in 2020 or later should show a completed Step 1 and a dated signature in Step 5. Employees complete Steps 2, 3, and/or 4 when relevant to their personal situations.",0.999999999975,1.0,1893.7114999998812
gd_006,stronger_reranker,What happens when an employee checks the Step 2 checkbox on Form W-4?,"['3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding calculations. For employees who don’t complete any steps other than Step 1 and Step 5, employers withhold the amount based on the filing status, wage amounts, and payroll pe- riod. But see Exemption from withholding, later. For employees completing one or more of Steps 2, 3, and/or 4 on Form W-4, adjustments are as follows. Step 2. If the employee checks the box in Step 2, the employer figures withholding from the “Form W -4, Step 2, Checkbox” column in the Percentage Method or Wage Bracket Method tables. This results in higher withholding for the employee. If the employee', 'who made a mid-year change may be underwithheld or overwithheld once their Form W -4 is ap- plied to the next full calendar year. New employee fails to furnish Form W -4. A new em- ployee who fails to furnish a Form W -4 will be treated as if they had checked the box for Single or Married filing sepa- rately in Step 1(c) and made no entries in Step 2, Step 3, or Step 4 of Form W -4. However, an employee who was paid wages before 2020 and who failed to furnish a Form W-4 should continue to be treated as Single and claiming zero allowances on a 2019 or earlier Form W-4. Exemption from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c)', '-0-. This is the Adjusted Wage Amount ...... 1h $ Step 2. Figure the Tentative Withholding Amount based on your pay frequency, the employee’s Adjusted Wage Amount, filing status (Step 1(c) of Form W-4), and whether the box in Step 2 of Form W-4 is checked. 2a Find the row in the STANDARD Withholding Rate Schedules (if the box in Step 2 of Form W-4 is NOT checked) or the Form W-4, Step 2, Checkbox, Withholding Rate Schedules (if it HAS been checked) of the Percentage Method tables in this section in which the amount on line 1h is at least the amount in column A but less than the amount in column B, and then enter here the amount from column A of that row', 'from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c) shall have no federal income tax withheld from their paychecks except in the case of certain supple- mental wages. Generally, an employee may claim exemp- tion from federal income tax withholding because they had no federal income tax liability last year and expect none this year. See the Form W-4 instructions for more informa- tion. Substitute Submissions of Form W-4 General requirements for any system set up to electroni- cally receive a Form W -4 or Form W -4P are discussed earlier under Electronic submission of Forms W -4 and W-4P. This section provides specific requirements', 'steps that limit the amount of text that is viewable, the toggles must be off as the default. If the electronic system places steps on differ- ent pages, users must be required to go to each page be- fore they may electronically sign the form. The electronic system must also include a hyperlink to Form W -4 on and/or include the pages 2–5 instructions and worksheets in their entirety in the electronic system inter- face itself (inclusion of only some of this information re- quires a link to the form). Field required for claiming “Exempt.” The electronic Form W-4 system must provide a checkbox for employees who are eligible and want to claim an exemption from with- holding to certify that']","If the employee checks the Step 2 checkbox, the employer figures withholding using the Form W-4 Step 2 Checkbox column in the Percentage Method or Wage Bracket Method tables. This results in higher withholding for the employee.",0.9999999999666667,1.0,1899.1880999992645
gd_007,stronger_reranker,How does Step 3 of Form W-4 affect federal income tax withholding?,"['withholding. Form W -4P contains 5 steps. Every Form W-4P payers receive from a payee in 2022 or later should show a completed Step 1 (name, address, SSN, and filing status) and a dated signature in Step 5. Payees complete Steps 2, 3, and/or 4 only if relevant to their personal situa- tions. Steps 2, 3, and 4 show adjustments that affect with- holding calculations. For payees completing one or more of Steps 2, 3, and/or 4 on a 2022 or later Form W-4P , adjustments are as follows. Step 2. If the payee completes Step 2, the payer will use the amount in Step 2(b)(iii) from a 2022 or later Form W-4P in Worksheet 1B to figure income tax withholding. Tip: Consider advising payees to use the IRS T', '3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding calculations. For employees who don’t complete any steps other than Step 1 and Step 5, employers withhold the amount based on the filing status, wage amounts, and payroll pe- riod. But see Exemption from withholding, later. For employees completing one or more of Steps 2, 3, and/or 4 on Form W-4, adjustments are as follows. Step 2. If the employee checks the box in Step 2, the employer figures withholding from the “Form W -4, Step 2, Checkbox” column in the Percentage Method or Wage Bracket Method tables. This results in higher withholding for the employee. If the employee', 'Steps 4(a) and 4(b). Employers increase the annual amount of wages subject to income tax withholding by the annual amount shown in Step 4(a) and reduce the annual amount of wages subject to income tax withholding by the annual amount shown in Step 4(b). Step 4(c). Employers will increase withholding by the per pay period tax amount in Step 4(c). Tip: At the beginning of each year, consider reminding employees to submit a new Form W -4 if they made a mid-year change to their Form W -4 based on their use of the IRS T ax Withholding Estimator available at / W4App. Employees who made a mid-year change may be underwithheld or overwithheld once their Form W -4 is ap- plied to the next full', 'Income T ax; or they prefer the most accurate withholding for multiple job situa- tions. Step 3. Employers use the amount on this line as an an- nual reduction in the amount of withholding. Employers should use the amount that the employee entered as the total in Step 3 of Form W -4 even if it is not equal to the sum of any amounts entered on the left in Step 3 because the total may take into account other tax credits. If the Step 3 total is blank, but there are amounts entered in Step 3(a) or 3(b), the employer may ask the employee if leaving the line blank was intentional. Steps 4(a) and 4(b). Employers increase the annual amount of wages subject to income tax withholding by the annual', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. decrease the amount of taxes withheld and amounts to in- crease or decrease the amount of wage income subject to income tax withholding. Form W-4 contains 5 steps. Every Form W-4 employers receive from an employee in 2020 or later should show a completed Step 1 (name, address, social security number (SSN), and filing status) and a dated signature in Step 5. Employees complete Steps 2, 3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding']",The employer uses the amount entered in Step 3 as an annual reduction in the amount of withholding. The employer should use the total entered in Step 3 even if it is not equal to the sum of the individual amounts entered there.,0.8874999999778125,1.0,879.9276999998256
gd_008,stronger_reranker,"What do Steps 4(a), 4(b), and 4(c) do on Form W-4?","['W -4. In particular, electronic Form W-4 systems set up as a substitute to pa- per Forms W-4 must exactly replicate the text and instruc- tions from the face of the paper Form W -4 beginning with Step 1(c) through Step 4(c) (inclusive), and the “Exempt from withholding” section below Step 4(c), and must allow an employee access to and use of all parts of the calcula- tion shown on the paper Form W-4 and its worksheets. No pop-ups or hoverboxes within those steps are per- mitted for displaying such required information, and if the electronic system has toggles for those steps that limit the amount of text that is viewable, the toggles must be off as the default. If the electronic system', 'claimed on line 5 of an employee’s 2019 or earlier Form W-4 by $4,300 and enter the result in Step 4(b) on a 2020 or later Form W-4. 4. Enter the additional amount of withholding requested by the employee on line 6 of their 2019 or earlier Form W-4 in Step 4(c) of a 2020 or later Form W-4. Caution: This computational bridge applies only for Forms W-4 that were in effect on or before December 31, 2019, and that continue in effect because an employee didn’t submit a 2020 or later Form W -4. If an employee is required, or chooses, to submit a new Form W -4, it doesn’t change the requirement that the employee must use the current year’s revision of Form W -4. Upon putting into effect a new Form', 'from withholding” section below Step 4(c), but only if the employer also: • Provides employees with all the tables, instructions, and worksheets set forth in the Form W-4 in effect at that time; and • Complies with all revenue procedures and other guid- ance prescribed by the Commissioner relating to sub- stitute forms in effect at that time. Guidelines that apply to electronic substitutes for Form W-4 don’t necessarily apply to a paper substitute Form W-4. For example, a paper substitute Form W -4 must in- clude the form’s instructions and worksheets rather than providing a web address where the payee can find them on . Employers are prohibited from accepting a substitute form developed by', 'withholding. Form W -4P contains 5 steps. Every Form W-4P payers receive from a payee in 2022 or later should show a completed Step 1 (name, address, SSN, and filing status) and a dated signature in Step 5. Payees complete Steps 2, 3, and/or 4 only if relevant to their personal situa- tions. Steps 2, 3, and 4 show adjustments that affect with- holding calculations. For payees completing one or more of Steps 2, 3, and/or 4 on a 2022 or later Form W-4P , adjustments are as follows. Step 2. If the payee completes Step 2, the payer will use the amount in Step 2(b)(iii) from a 2022 or later Form W-4P in Worksheet 1B to figure income tax withholding. Tip: Consider advising payees to use the IRS T', 'who made a mid-year change may be underwithheld or overwithheld once their Form W -4 is ap- plied to the next full calendar year. New employee fails to furnish Form W -4. A new em- ployee who fails to furnish a Form W -4 will be treated as if they had checked the box for Single or Married filing sepa- rately in Step 1(c) and made no entries in Step 2, Step 3, or Step 4 of Form W -4. However, an employee who was paid wages before 2020 and who failed to furnish a Form W-4 should continue to be treated as Single and claiming zero allowances on a 2019 or earlier Form W-4. Exemption from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c)']",Step 4(a) increases the annual amount of wages subject to income tax withholding. Step 4(b) reduces the annual amount of wages subject to income tax withholding. Step 4(c) increases withholding by the per-pay-period tax amount entered by the employee.,0.49999999995,0.0,1845.9579000000303
gd_009,stronger_reranker,What happens if a new employee does not furnish Form W-4?,"['who made a mid-year change may be underwithheld or overwithheld once their Form W -4 is ap- plied to the next full calendar year. New employee fails to furnish Form W -4. A new em- ployee who fails to furnish a Form W -4 will be treated as if they had checked the box for Single or Married filing sepa- rately in Step 1(c) and made no entries in Step 2, Step 3, or Step 4 of Form W -4. However, an employee who was paid wages before 2020 and who failed to furnish a Form W-4 should continue to be treated as Single and claiming zero allowances on a 2019 or earlier Form W-4. Exemption from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c)', 'a web address where the payee can find them on . Employers are prohibited from accepting a substitute form developed by an employee, and an employee fur- nishing such form must be treated as failing to furnish a Form W-4. How To Treat 2019 and Earlier Forms W-4 as if They Were 2020 or Later Forms W-4 Employers may use an optional computational bridge to treat 2019 and earlier Forms W -4 as if they were 2020 or later Forms W -4 for purposes of figuring federal income tax withholding. This computational bridge allows you to use computational procedures and data fields for a 2020 and later Form W -4 to arrive at the equivalent withholding for an employee that would have applied using the', 'claimed on line 5 of an employee’s 2019 or earlier Form W-4 by $4,300 and enter the result in Step 4(b) on a 2020 or later Form W-4. 4. Enter the additional amount of withholding requested by the employee on line 6 of their 2019 or earlier Form W-4 in Step 4(c) of a 2020 or later Form W-4. Caution: This computational bridge applies only for Forms W-4 that were in effect on or before December 31, 2019, and that continue in effect because an employee didn’t submit a 2020 or later Form W -4. If an employee is required, or chooses, to submit a new Form W -4, it doesn’t change the requirement that the employee must use the current year’s revision of Form W -4. Upon putting into effect a new Form', 'requirement that the employee must use the current year’s revision of Form W -4. Upon putting into effect a new Form W -4 from an employee, you must stop using this computational bridge for the applicable year of the new Form W-4. An employer using the compu- tational bridge for a Form W -4 furnished by an employee must retain the Form W-4 for its records. Lock-in letters. The IRS may have notified you in writing that the employee must use a specific marital status and is limited to a specific number of allowances in a letter (com- monly referred to as a “lock -in letter”) applicable before 2020. For more information about lock -in letters, see sec- tion 9 of Pub. 15. For lock -in letters', 'as if they had no entries on lines 1 and 3 and had completed line 2 indicat- ing a status of Single, and claiming zero allowances. If a payee received their first periodic pension or annuity pay- ment before 2022 and had failed to furnish a Form W -4P when those payments began, you must continue to with- hold on those periodic payments as if the recipient were married claiming three withholding allowances on a Form W-4P for 2021 or earlier, unless the payee furnishes a Form W-4P requesting a change in withholding. If a payee is treated as married claiming three withholding allowan- ces on a 2021 or earlier Form W-4P , tax will be withheld on a payment that is at least $2,690 per month.']","A new employee who fails to furnish Form W-4 is treated as if they checked Single or Married filing separately in Step 1(c) and made no entries in Steps 2, 3, or 4. An employee who was paid wages before 2020 and failed to furnish Form W-4 continues to be treated as Single and claiming zero allowances on a 2019 or earlier Form W-4.",0.99999999998,1.0,1838.2492000000639
gd_010,stronger_reranker,When can an employee claim exemption from federal income tax withholding?,"['from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c) shall have no federal income tax withheld from their paychecks except in the case of certain supple- mental wages. Generally, an employee may claim exemp- tion from federal income tax withholding because they had no federal income tax liability last year and expect none this year. See the Form W-4 instructions for more informa- tion. Substitute Submissions of Form W-4 General requirements for any system set up to electroni- cally receive a Form W -4 or Form W -4P are discussed earlier under Electronic submission of Forms W -4 and W-4P. This section provides specific requirements', 'provide a checkbox for employees who are eligible and want to claim an exemption from with- holding to certify that they are exempt immediately below or after Step 4(c) to allow users to elect no withholding 4 (2026)', 'The 2026 Form W-4 was also updated to add a new checkbox below Step 4(c) for an employee to claim ex- emption from federal income tax withholding. Previously, the employee wrote “Exempt” below Step 4(c). 2026 Form W-4P . Form W-4P , Withholding Certificate for Periodic Pension or Annuity Payments, has been updated for 2026 to account for new federal income tax deductions under P .L. 119-21 that are available to payees when they T (2026) Catalog Number 32112B Dec 3, 2025 Department of the T reasury Internal Revenue Service www.irs.gov', 'who made a mid-year change may be underwithheld or overwithheld once their Form W -4 is ap- plied to the next full calendar year. New employee fails to furnish Form W -4. A new em- ployee who fails to furnish a Form W -4 will be treated as if they had checked the box for Single or Married filing sepa- rately in Step 1(c) and made no entries in Step 2, Step 3, or Step 4 of Form W -4. However, an employee who was paid wages before 2020 and who failed to furnish a Form W-4 should continue to be treated as Single and claiming zero allowances on a 2019 or earlier Form W-4. Exemption from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c)', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. file their income tax returns. The 2026 Form W -4P was also updated to add a new checkbox below Step 4(c) for a payee to request no federal income tax withholding. Previ- ously, the payee wrote “No withholding” below Step 4(c). Withholding on qualified tips. For tax years beginning after 2024 and ending before 2029, P .L. 119 -21 allows employees and self -employed individuals to deduct up to $25,000 of qualified tips received in occupations that cus- tomarily and regularly received tips on or before Decem-']","An employee who checks the exemption box below Step 4(c) will generally have no federal income tax withheld from their paychecks, except in the case of certain supplemental wages. Generally, an employee may claim exemption because they had no federal income tax liability last year and expect none this year.",0.99999999998,1.0,1570.8279999998922
