question_id,top_k,user_input,retrieved_contexts,reference,llm_context_precision_with_reference,context_recall
gd_001,3,What is IRS Publication 15-T used for?,"['at /pub/irs-irbs/irb99-04.pdf. Introduction This publication supplements Pub. 15, Employer’s T ax Guide. It describes how to figure withholding using the Wage Bracket Method or Percentage Method, describes the alternative methods for figuring withholding, and pro- vides the T ables for Withholding on Distributions of Indian Gaming Profits to T ribal Members. Although this publication may be used in certain situa- tions to figure federal income tax withholding on supple- mental wages, the methods of withholding described in this publication can’t be used if the 37% mandatory flat rate withholding applies or if the 22% optional flat rate withholding is used to figure federal income tax', 'and 1099-NEC) with the SSA or IRS, as applicable, and fur- nish statements to overtime recipients showing qualified overtime compensation paid during the year. However, the IRS has provided transition relief to employers and payers for the tax year 2025 reporting requirements. For more in- formation, see Notice 2025-62. Reminders IRS Tax Withholding Estimator. Employees and payees may use the IRS T ax Withholding Estimator, available at /W4App, when completing their Form W -4 or their Form W-4P . Form W -4P and Form W -4R. Form W -4P was rede- signed for 2022. Form W -4P is now used only to make withholding elections for periodic pension or annuity pay- ments. Previously, Form W -4P was', '15 -T) on mobile devices as eBooks at /eBooks. IRS eBooks have been tested using Apple’s iBooks for iPad. Our eBooks haven’t been tested on other dedicated eBook readers, and eBook functionality may not operate as intended. Get a transcript of your return. Y ou can now access Form 940, Form 941, Form 943, Form 944, and Form 945 return transcripts for tax years 2023 and later using your IRS business tax account. For more information, go to /BusinessT ranscript. T o access your IRS business tax account, go to /BusinessAccount. Using direct deposit. The safest and easiest way to re- ceive a tax refund is to e-file and choose direct deposit, which securely and electronically transfers your']",IRS Publication 15-T provides federal income tax withholding methods for use in 2026. It includes withholding tables and methods for figuring federal income tax withholding.,0.9999999999,0.5
gd_002,3,What changed in the 2026 federal income tax withholding tables?,"['Systems With Forms W-4 From 2019 or Earlier ........................ 63 6. Alternative Methods for Figuring Withholding .......................... 66 7. Tables for Withholding on Distributions of Indian Gaming Profits to Tribal Members ... 67 How To Get Tax Help ....................... 68 Future Developments For the latest information about developments related to Pub. 15 -T , such as legislation enacted after it was published, go to /Pub15T. What’s New 2026 federal income tax withholding tables. The 2026 federal income tax withholding tables in this publication have been updated for changes made by P .L. 119 -21, commonly known as the One Big Beautiful Bill Act, includ- ing the permanent', 'The 2026 Form W-4 was also updated to add a new checkbox below Step 4(c) for an employee to claim ex- emption from federal income tax withholding. Previously, the employee wrote “Exempt” below Step 4(c). 2026 Form W-4P . Form W-4P , Withholding Certificate for Periodic Pension or Annuity Payments, has been updated for 2026 to account for new federal income tax deductions under P .L. 119-21 that are available to payees when they T (2026) Catalog Number 32112B Dec 3, 2025 Department of the T reasury Internal Revenue Service www.irs.gov', 'updated for changes made by P .L. 119 -21, commonly known as the One Big Beautiful Bill Act, includ- ing the permanent extension of individual tax rates, the permanent extension of the increased standard deduc- tion, and the permanent termination of personal exemp- tions, which were all originally enacted by the T ax Cuts and Jobs Act (P .L. 115-97). 2026 Form W -4. Form W -4, Employee’s Withholding Certificate, has been updated for 2026 to account for new federal income tax deductions under P .L. 119-21 that are available to employees when they file their income tax re- turns. The 2026 Form W-4 was also updated to add a new checkbox below Step 4(c) for an employee to claim ex- emption from']","The 2026 federal income tax withholding tables were updated for changes made by P.L. 119-21, including the permanent extension of individual tax rates, the permanent extension of the increased standard deduction, and the permanent termination of personal exemptions.",0.9999999999666667,1.0
gd_003,3,What are the main withholding methods covered by Publication 15-T?,"['at /pub/irs-irbs/irb99-04.pdf. Introduction This publication supplements Pub. 15, Employer’s T ax Guide. It describes how to figure withholding using the Wage Bracket Method or Percentage Method, describes the alternative methods for figuring withholding, and pro- vides the T ables for Withholding on Distributions of Indian Gaming Profits to T ribal Members. Although this publication may be used in certain situa- tions to figure federal income tax withholding on supple- mental wages, the methods of withholding described in this publication can’t be used if the 37% mandatory flat rate withholding applies or if the 22% optional flat rate withholding is used to figure federal income tax', 'Systems With Forms W-4 From 2019 or Earlier ........................ 63 6. Alternative Methods for Figuring Withholding .......................... 66 7. Tables for Withholding on Distributions of Indian Gaming Profits to Tribal Members ... 67 How To Get Tax Help ....................... 68 Future Developments For the latest information about developments related to Pub. 15 -T , such as legislation enacted after it was published, go to /Pub15T. What’s New 2026 federal income tax withholding tables. The 2026 federal income tax withholding tables in this publication have been updated for changes made by P .L. 119 -21, commonly known as the One Big Beautiful Bill Act, includ- ing the permanent', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. 6. Alternative Methods for Figuring Withholding Y ou may use various methods for figuring federal income tax withholding. The methods described next may be used instead of the Percentage Method and Wage Bracket Method discussed earlier in this publication. Use the method that best suits your payroll system and employ- ees. Caution: Employers must use a modified procedure to figure the amount of federal income tax withholding on the wages of nonresident alien employees. Before you use any of the alternative']","Publication 15-T covers the Percentage Method and Wage Bracket Method, including versions for automated payroll systems and manual payroll systems. It also includes alternative methods for figuring withholding.",0.8333333332916666,1.0
gd_004,3,What information does an employee provide on Form W-4 from 2020 or later?,"['claimed on line 5 of an employee’s 2019 or earlier Form W-4 by $4,300 and enter the result in Step 4(b) on a 2020 or later Form W-4. 4. Enter the additional amount of withholding requested by the employee on line 6 of their 2019 or earlier Form W-4 in Step 4(c) of a 2020 or later Form W-4. Caution: This computational bridge applies only for Forms W-4 that were in effect on or before December 31, 2019, and that continue in effect because an employee didn’t submit a 2020 or later Form W -4. If an employee is required, or chooses, to submit a new Form W -4, it doesn’t change the requirement that the employee must use the current year’s revision of Form W -4. Upon putting into effect a new Form', 'a 2020 and later Form W -4 to arrive at the equivalent withholding for an employee that would have applied using the compu- tational procedures and data fields on a 2019 or earlier Form W-4. Y ou must make up to four adjustments to use this computational bridge. 1. Select the filing status in Step 1(c) of a 2020 or later Form W-4 that most accurately reflects the (2026) 5', 'at the photographs and calling 1 -800-THE-LOST (1-800-843-5678) if you recognize a child. Form W-4 Beginning with the 2020 Form W-4, employees are no lon- ger able to request adjustments to their withholding using withholding allowances. Instead, using the new Form W-4, employees provide employers with amounts to increase or (2026) 3']","Beginning with the 2020 Form W-4, employees no longer request withholding adjustments using withholding allowances. Instead, they provide amounts to increase or decrease the amount of taxes withheld and amounts to increase or decrease the amount of wage income subject to income tax withholding.",0.9999999999666667,1.0
gd_005,3,What are the five steps on Form W-4?,"['withholding. Form W -4P contains 5 steps. Every Form W-4P payers receive from a payee in 2022 or later should show a completed Step 1 (name, address, SSN, and filing status) and a dated signature in Step 5. Payees complete Steps 2, 3, and/or 4 only if relevant to their personal situa- tions. Steps 2, 3, and 4 show adjustments that affect with- holding calculations. For payees completing one or more of Steps 2, 3, and/or 4 on a 2022 or later Form W-4P , adjustments are as follows. Step 2. If the payee completes Step 2, the payer will use the amount in Step 2(b)(iii) from a 2022 or later Form W-4P in Worksheet 1B to figure income tax withholding. Tip: Consider advising payees to use the IRS T', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. decrease the amount of taxes withheld and amounts to in- crease or decrease the amount of wage income subject to income tax withholding. Form W-4 contains 5 steps. Every Form W-4 employers receive from an employee in 2020 or later should show a completed Step 1 (name, address, social security number (SSN), and filing status) and a dated signature in Step 5. Employees complete Steps 2, 3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding', '2u $ Step 3. Account for tax credits 3a If the payee has submitted a Form W-4P for 2022 or later, enter the amount from Step 3 of that form; otherwise, enter -0- ...................................................................... 3a $ 3b Subtract line 3a from line 2u. If zero or less, enter -0- .......................................... 3b $ Step 4. Figure the final amount to withhold 4a Divide the amount on line 3b by the number of payment periods from line 1b .......................... 4a $ 4b Enter the additional amount to withhold from the payee’s Form W-4P (Step 4(c) of the 2022 or later Form W-4P or line 3 of the 2021 or earlier Form W-4P)']","Form W-4 contains five steps. Every Form W-4 received from an employee in 2020 or later should show a completed Step 1 and a dated signature in Step 5. Employees complete Steps 2, 3, and/or 4 when relevant to their personal situations.",0.9999999999666667,1.0
gd_006,3,What happens when an employee checks the Step 2 checkbox on Form W-4?,"['employee HAS submitted a Form W-4 for 2020 or later, figure the Adjusted Annual Wage Amount as follows. 1d Enter the amount from Step 4(a) of the employee’s Form W-4 ................................. 1d $ 1e Add lines 1c and 1d .............................................................. 1e $ 1f Enter the amount from Step 4(b) of the employee’s Form W-4 ................................. 1f $ 1g If the box in Step 2 of Form W-4 is checked, enter -0-. If the box is not checked, enter $12,900 if the taxpayer is married filing jointly or $8,600 otherwise .............................................. 1g $ 1h Add lines 1f and 1g .............................................................. 1h', '3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding calculations. For employees who don’t complete any steps other than Step 1 and Step 5, employers withhold the amount based on the filing status, wage amounts, and payroll pe- riod. But see Exemption from withholding, later. For employees completing one or more of Steps 2, 3, and/or 4 on Form W-4, adjustments are as follows. Step 2. If the employee checks the box in Step 2, the employer figures withholding from the “Form W -4, Step 2, Checkbox” column in the Percentage Method or Wage Bracket Method tables. This results in higher withholding for the employee. If the employee', 'withholding. Form W -4P contains 5 steps. Every Form W-4P payers receive from a payee in 2022 or later should show a completed Step 1 (name, address, SSN, and filing status) and a dated signature in Step 5. Payees complete Steps 2, 3, and/or 4 only if relevant to their personal situa- tions. Steps 2, 3, and 4 show adjustments that affect with- holding calculations. For payees completing one or more of Steps 2, 3, and/or 4 on a 2022 or later Form W-4P , adjustments are as follows. Step 2. If the payee completes Step 2, the payer will use the amount in Step 2(b)(iii) from a 2022 or later Form W-4P in Worksheet 1B to figure income tax withholding. Tip: Consider advising payees to use the IRS T']","If the employee checks the Step 2 checkbox, the employer figures withholding using the Form W-4 Step 2 Checkbox column in the Percentage Method or Wage Bracket Method tables. This results in higher withholding for the employee.",0.9999999999666667,1.0
gd_007,3,How does Step 3 of Form W-4 affect federal income tax withholding?,"['withholding. Form W -4P contains 5 steps. Every Form W-4P payers receive from a payee in 2022 or later should show a completed Step 1 (name, address, SSN, and filing status) and a dated signature in Step 5. Payees complete Steps 2, 3, and/or 4 only if relevant to their personal situa- tions. Steps 2, 3, and 4 show adjustments that affect with- holding calculations. For payees completing one or more of Steps 2, 3, and/or 4 on a 2022 or later Form W-4P , adjustments are as follows. Step 2. If the payee completes Step 2, the payer will use the amount in Step 2(b)(iii) from a 2022 or later Form W-4P in Worksheet 1B to figure income tax withholding. Tip: Consider advising payees to use the IRS T', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. decrease the amount of taxes withheld and amounts to in- crease or decrease the amount of wage income subject to income tax withholding. Form W-4 contains 5 steps. Every Form W-4 employers receive from an employee in 2020 or later should show a completed Step 1 (name, address, social security number (SSN), and filing status) and a dated signature in Step 5. Employees complete Steps 2, 3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding', '3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding calculations. For employees who don’t complete any steps other than Step 1 and Step 5, employers withhold the amount based on the filing status, wage amounts, and payroll pe- riod. But see Exemption from withholding, later. For employees completing one or more of Steps 2, 3, and/or 4 on Form W-4, adjustments are as follows. Step 2. If the employee checks the box in Step 2, the employer figures withholding from the “Form W -4, Step 2, Checkbox” column in the Percentage Method or Wage Bracket Method tables. This results in higher withholding for the employee. If the employee']",The employer uses the amount entered in Step 3 as an annual reduction in the amount of withholding. The employer should use the total entered in Step 3 even if it is not equal to the sum of the individual amounts entered there.,0.9999999999666667,0.0
gd_008,3,"What do Steps 4(a), 4(b), and 4(c) do on Form W-4?","['Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. decrease the amount of taxes withheld and amounts to in- crease or decrease the amount of wage income subject to income tax withholding. Form W-4 contains 5 steps. Every Form W-4 employers receive from an employee in 2020 or later should show a completed Step 1 (name, address, social security number (SSN), and filing status) and a dated signature in Step 5. Employees complete Steps 2, 3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding', 'withholding. Form W -4P contains 5 steps. Every Form W-4P payers receive from a payee in 2022 or later should show a completed Step 1 (name, address, SSN, and filing status) and a dated signature in Step 5. Payees complete Steps 2, 3, and/or 4 only if relevant to their personal situa- tions. Steps 2, 3, and 4 show adjustments that affect with- holding calculations. For payees completing one or more of Steps 2, 3, and/or 4 on a 2022 or later Form W-4P , adjustments are as follows. Step 2. If the payee completes Step 2, the payer will use the amount in Step 2(b)(iii) from a 2022 or later Form W-4P in Worksheet 1B to figure income tax withholding. Tip: Consider advising payees to use the IRS T', 'W -4. In particular, electronic Form W-4 systems set up as a substitute to pa- per Forms W-4 must exactly replicate the text and instruc- tions from the face of the paper Form W -4 beginning with Step 1(c) through Step 4(c) (inclusive), and the “Exempt from withholding” section below Step 4(c), and must allow an employee access to and use of all parts of the calcula- tion shown on the paper Form W-4 and its worksheets. No pop-ups or hoverboxes within those steps are per- mitted for displaying such required information, and if the electronic system has toggles for those steps that limit the amount of text that is viewable, the toggles must be off as the default. If the electronic system']",Step 4(a) increases the annual amount of wages subject to income tax withholding. Step 4(b) reduces the annual amount of wages subject to income tax withholding. Step 4(c) increases withholding by the per-pay-period tax amount entered by the employee.,0.3333333333,0.0
gd_009,3,What happens if a new employee does not furnish Form W-4?,"['who made a mid-year change may be underwithheld or overwithheld once their Form W -4 is ap- plied to the next full calendar year. New employee fails to furnish Form W -4. A new em- ployee who fails to furnish a Form W -4 will be treated as if they had checked the box for Single or Married filing sepa- rately in Step 1(c) and made no entries in Step 2, Step 3, or Step 4 of Form W -4. However, an employee who was paid wages before 2020 and who failed to furnish a Form W-4 should continue to be treated as Single and claiming zero allowances on a 2019 or earlier Form W-4. Exemption from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c)', 'a web address where the payee can find them on . Employers are prohibited from accepting a substitute form developed by an employee, and an employee fur- nishing such form must be treated as failing to furnish a Form W-4. How To Treat 2019 and Earlier Forms W-4 as if They Were 2020 or Later Forms W-4 Employers may use an optional computational bridge to treat 2019 and earlier Forms W -4 as if they were 2020 or later Forms W -4 for purposes of figuring federal income tax withholding. This computational bridge allows you to use computational procedures and data fields for a 2020 and later Form W -4 to arrive at the equivalent withholding for an employee that would have applied using the', 'from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c) shall have no federal income tax withheld from their paychecks except in the case of certain supple- mental wages. Generally, an employee may claim exemp- tion from federal income tax withholding because they had no federal income tax liability last year and expect none this year. See the Form W-4 instructions for more informa- tion. Substitute Submissions of Form W-4 General requirements for any system set up to electroni- cally receive a Form W -4 or Form W -4P are discussed earlier under Electronic submission of Forms W -4 and W-4P. This section provides specific requirements']","A new employee who fails to furnish Form W-4 is treated as if they checked Single or Married filing separately in Step 1(c) and made no entries in Steps 2, 3, or 4. An employee who was paid wages before 2020 and failed to furnish Form W-4 continues to be treated as Single and claiming zero allowances on a 2019 or earlier Form W-4.",0.9999999999666667,1.0
gd_010,3,When can an employee claim exemption from federal income tax withholding?,"['from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c) shall have no federal income tax withheld from their paychecks except in the case of certain supple- mental wages. Generally, an employee may claim exemp- tion from federal income tax withholding because they had no federal income tax liability last year and expect none this year. See the Form W-4 instructions for more informa- tion. Substitute Submissions of Form W-4 General requirements for any system set up to electroni- cally receive a Form W -4 or Form W -4P are discussed earlier under Electronic submission of Forms W -4 and W-4P. This section provides specific requirements', 'provide a checkbox for employees who are eligible and want to claim an exemption from with- holding to certify that they are exempt immediately below or after Step 4(c) to allow users to elect no withholding 4 (2026)', 'who made a mid-year change may be underwithheld or overwithheld once their Form W -4 is ap- plied to the next full calendar year. New employee fails to furnish Form W -4. A new em- ployee who fails to furnish a Form W -4 will be treated as if they had checked the box for Single or Married filing sepa- rately in Step 1(c) and made no entries in Step 2, Step 3, or Step 4 of Form W -4. However, an employee who was paid wages before 2020 and who failed to furnish a Form W-4 should continue to be treated as Single and claiming zero allowances on a 2019 or earlier Form W-4. Exemption from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c)']","An employee who checks the exemption box below Step 4(c) will generally have no federal income tax withheld from their paychecks, except in the case of certain supplemental wages. Generally, an employee may claim exemption because they had no federal income tax liability last year and expect none this year.",0.9999999999666667,1.0
