question_id,variant,user_input,retrieved_contexts,reference,llm_context_precision_with_reference,context_recall
gd_001,no_rerank,What is IRS Publication 15-T used for?,"['at /pub/irs-irbs/irb99-04.pdf. Introduction This publication supplements Pub. 15, Employer’s T ax Guide. It describes how to figure withholding using the Wage Bracket Method or Percentage Method, describes the alternative methods for figuring withholding, and pro- vides the T ables for Withholding on Distributions of Indian Gaming Profits to T ribal Members. Although this publication may be used in certain situa- tions to figure federal income tax withholding on supple- mental wages, the methods of withholding described in this publication can’t be used if the 37% mandatory flat rate withholding applies or if the 22% optional flat rate withholding is used to figure federal income tax', 'and 1099-NEC) with the SSA or IRS, as applicable, and fur- nish statements to overtime recipients showing qualified overtime compensation paid during the year. However, the IRS has provided transition relief to employers and payers for the tax year 2025 reporting requirements. For more in- formation, see Notice 2025-62. Reminders IRS Tax Withholding Estimator. Employees and payees may use the IRS T ax Withholding Estimator, available at /W4App, when completing their Form W -4 or their Form W-4P . Form W -4P and Form W -4R. Form W -4P was rede- signed for 2022. Form W -4P is now used only to make withholding elections for periodic pension or annuity pay- ments. Previously, Form W -4P was', '15 -T) on mobile devices as eBooks at /eBooks. IRS eBooks have been tested using Apple’s iBooks for iPad. Our eBooks haven’t been tested on other dedicated eBook readers, and eBook functionality may not operate as intended. Get a transcript of your return. Y ou can now access Form 940, Form 941, Form 943, Form 944, and Form 945 return transcripts for tax years 2023 and later using your IRS business tax account. For more information, go to /BusinessT ranscript. T o access your IRS business tax account, go to /BusinessAccount. Using direct deposit. The safest and easiest way to re- ceive a tax refund is to e-file and choose direct deposit, which securely and electronically transfers your', 'Userid: CPM Schema: tipx Leadpct: 100% Pt. size: 10 Draft Ok to Print AH XSL/XML Fileid: … ation-15-t/2026/a/xml/cycle07/source (Init. & Date) _______ 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. Federal Income Tax Withholding Methods For use in 2026 Get forms and other information faster and easier at: • (English) • /Spanish (Español) • /Chinese (中文) • /Korean (한국어) • /Russian (Pусский) • /Vietnamese (Tiếng Việt) Contents Introduction .............................. 3 1. Percentage Method Tables for Automated Payroll Systems and Withholding on Periodic Payments of Pensions and Annuities', 'your tax information on record with the IRS and do more with a business tax account. Go to / BusinessAccount for more information. IRS social media. Go to /SocialMedia to see the various social media tools the IRS uses to share the latest information on tax changes, scam alerts, initiatives, prod- ucts, and services. At the IRS, privacy and security are our highest priority. We use these tools to share public infor- mation with you. Don’t post your identification number (EIN or SSN) or other confidential information on social media sites. Always protect your identity when using any social networking site. The following IRS Y ouT ube channels provide short, in- formative videos on various']",IRS Publication 15-T provides federal income tax withholding methods for use in 2026. It includes withholding tables and methods for figuring federal income tax withholding.,0.7499999999625,1.0
gd_002,no_rerank,What changed in the 2026 federal income tax withholding tables?,"['Systems With Forms W-4 From 2019 or Earlier ........................ 63 6. Alternative Methods for Figuring Withholding .......................... 66 7. Tables for Withholding on Distributions of Indian Gaming Profits to Tribal Members ... 67 How To Get Tax Help ....................... 68 Future Developments For the latest information about developments related to Pub. 15 -T , such as legislation enacted after it was published, go to /Pub15T. What’s New 2026 federal income tax withholding tables. The 2026 federal income tax withholding tables in this publication have been updated for changes made by P .L. 119 -21, commonly known as the One Big Beautiful Bill Act, includ- ing the permanent', 'The 2026 Form W-4 was also updated to add a new checkbox below Step 4(c) for an employee to claim ex- emption from federal income tax withholding. Previously, the employee wrote “Exempt” below Step 4(c). 2026 Form W-4P . Form W-4P , Withholding Certificate for Periodic Pension or Annuity Payments, has been updated for 2026 to account for new federal income tax deductions under P .L. 119-21 that are available to payees when they T (2026) Catalog Number 32112B Dec 3, 2025 Department of the T reasury Internal Revenue Service www.irs.gov', 'updated for changes made by P .L. 119 -21, commonly known as the One Big Beautiful Bill Act, includ- ing the permanent extension of individual tax rates, the permanent extension of the increased standard deduc- tion, and the permanent termination of personal exemp- tions, which were all originally enacted by the T ax Cuts and Jobs Act (P .L. 115-97). 2026 Form W -4. Form W -4, Employee’s Withholding Certificate, has been updated for 2026 to account for new federal income tax deductions under P .L. 119-21 that are available to employees when they file their income tax re- turns. The 2026 Form W-4 was also updated to add a new checkbox below Step 4(c) for an employee to claim ex- emption from', 'income tax withholding. Table 1 Payroll period Add additional Weekly ............................ $226.90 Biweekly ........................... 453.80 Semimonthly ........................ 491.70 Monthly ........................... 983.30 Quarterly .......................... 2,950.00 Semiannually ........................ 5,900.00 Annually ........................... 11,800.00 Daily or Miscellaneous (each day of the payroll period) ............................ 45.40 If the nonresident alien employee has submitted a Form W-4 for 2020 or later or was first paid wages in 2020 or later, add the amount shown in T able 2 to their wages for calculating federal income tax withholding. 6 (2026)', 'allowan- ces on a 2021 or earlier Form W-4P , tax will be withheld on a payment that is at least $2,690 per month. Choosing not to have income tax withheld. A payee who checks the box for “No withholding” on a 2026 or later Form W-4P below Step 4(c) shall have no federal income tax withheld from their periodic pension or annuity pay- ments. On a 2022 through 2025 Form W -4P , the payee would have made this election by writing “No Withholding” below Step 4(c). In the case of a payer that used the 2021 Form W -4P for 2022, a payee who checked the box of line 1 of the 2021 Form W -4P shall have no federal in- come tax withheld from their periodic pension or annuity payments. Regardless of the']","The 2026 federal income tax withholding tables were updated for changes made by P.L. 119-21, including the permanent extension of individual tax rates, the permanent extension of the increased standard deduction, and the permanent termination of personal exemptions.",0.9999999999666667,1.0
gd_003,no_rerank,What are the main withholding methods covered by Publication 15-T?,"['at /pub/irs-irbs/irb99-04.pdf. Introduction This publication supplements Pub. 15, Employer’s T ax Guide. It describes how to figure withholding using the Wage Bracket Method or Percentage Method, describes the alternative methods for figuring withholding, and pro- vides the T ables for Withholding on Distributions of Indian Gaming Profits to T ribal Members. Although this publication may be used in certain situa- tions to figure federal income tax withholding on supple- mental wages, the methods of withholding described in this publication can’t be used if the 37% mandatory flat rate withholding applies or if the 22% optional flat rate withholding is used to figure federal income tax', 'Systems With Forms W-4 From 2019 or Earlier ........................ 63 6. Alternative Methods for Figuring Withholding .......................... 66 7. Tables for Withholding on Distributions of Indian Gaming Profits to Tribal Members ... 67 How To Get Tax Help ....................... 68 Future Developments For the latest information about developments related to Pub. 15 -T , such as legislation enacted after it was published, go to /Pub15T. What’s New 2026 federal income tax withholding tables. The 2026 federal income tax withholding tables in this publication have been updated for changes made by P .L. 119 -21, commonly known as the One Big Beautiful Bill Act, includ- ing the permanent', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. 6. Alternative Methods for Figuring Withholding Y ou may use various methods for figuring federal income tax withholding. The methods described next may be used instead of the Percentage Method and Wage Bracket Method discussed earlier in this publication. Use the method that best suits your payroll system and employ- ees. Caution: Employers must use a modified procedure to figure the amount of federal income tax withholding on the wages of nonresident alien employees. Before you use any of the alternative', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. 1. Percentage Method Tables for Automated Payroll Systems and Withholding on Periodic Payments of Pensions and Annuities If you’re an employer with an automated payroll system, use Worksheet 1A and the Percentage Method tables in this section to figure federal income tax withholding. This method works for Forms W -4 for all prior, current, and fu- ture years. This method also works for any amount of wa- ges. If the Form W -4 is from 2019 or earlier, this method works for any number of withholding allowances', 'Userid: CPM Schema: tipx Leadpct: 100% Pt. size: 10 Draft Ok to Print AH XSL/XML Fileid: … ation-15-t/2026/a/xml/cycle07/source (Init. & Date) _______ 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. Federal Income Tax Withholding Methods For use in 2026 Get forms and other information faster and easier at: • (English) • /Spanish (Español) • /Chinese (中文) • /Korean (한국어) • /Russian (Pусский) • /Vietnamese (Tiếng Việt) Contents Introduction .............................. 3 1. Percentage Method Tables for Automated Payroll Systems and Withholding on Periodic Payments of Pensions and Annuities']","Publication 15-T covers the Percentage Method and Wage Bracket Method, including versions for automated payroll systems and manual payroll systems. It also includes alternative methods for figuring withholding.",0.8333333332916666,1.0
gd_004,no_rerank,What information does an employee provide on Form W-4 from 2020 or later?,"['claimed on line 5 of an employee’s 2019 or earlier Form W-4 by $4,300 and enter the result in Step 4(b) on a 2020 or later Form W-4. 4. Enter the additional amount of withholding requested by the employee on line 6 of their 2019 or earlier Form W-4 in Step 4(c) of a 2020 or later Form W-4. Caution: This computational bridge applies only for Forms W-4 that were in effect on or before December 31, 2019, and that continue in effect because an employee didn’t submit a 2020 or later Form W -4. If an employee is required, or chooses, to submit a new Form W -4, it doesn’t change the requirement that the employee must use the current year’s revision of Form W -4. Upon putting into effect a new Form', 'a 2020 and later Form W -4 to arrive at the equivalent withholding for an employee that would have applied using the compu- tational procedures and data fields on a 2019 or earlier Form W-4. Y ou must make up to four adjustments to use this computational bridge. 1. Select the filing status in Step 1(c) of a 2020 or later Form W-4 that most accurately reflects the (2026) 5', 'at the photographs and calling 1 -800-THE-LOST (1-800-843-5678) if you recognize a child. Form W-4 Beginning with the 2020 Form W-4, employees are no lon- ger able to request adjustments to their withholding using withholding allowances. Instead, using the new Form W-4, employees provide employers with amounts to increase or (2026) 3', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. decrease the amount of taxes withheld and amounts to in- crease or decrease the amount of wage income subject to income tax withholding. Form W-4 contains 5 steps. Every Form W-4 employers receive from an employee in 2020 or later should show a completed Step 1 (name, address, social security number (SSN), and filing status) and a dated signature in Step 5. Employees complete Steps 2, 3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding', 'employee HAS submitted a Form W-4 for 2020 or later, figure the Adjusted Annual Wage Amount as follows. 1d Enter the amount from Step 4(a) of the employee’s Form W-4 ................................. 1d $ 1e Add lines 1c and 1d .............................................................. 1e $ 1f Enter the amount from Step 4(b) of the employee’s Form W-4 ................................. 1f $ 1g If the box in Step 2 of Form W-4 is checked, enter -0-. If the box is not checked, enter $12,900 if the taxpayer is married filing jointly or $8,600 otherwise .............................................. 1g $ 1h Add lines 1f and 1g .............................................................. 1h']","Beginning with the 2020 Form W-4, employees no longer request withholding adjustments using withholding allowances. Instead, they provide amounts to increase or decrease the amount of taxes withheld and amounts to increase or decrease the amount of wage income subject to income tax withholding.",0.99999999998,1.0
gd_005,no_rerank,What are the five steps on Form W-4?,"['withholding. Form W -4P contains 5 steps. Every Form W-4P payers receive from a payee in 2022 or later should show a completed Step 1 (name, address, SSN, and filing status) and a dated signature in Step 5. Payees complete Steps 2, 3, and/or 4 only if relevant to their personal situa- tions. Steps 2, 3, and 4 show adjustments that affect with- holding calculations. For payees completing one or more of Steps 2, 3, and/or 4 on a 2022 or later Form W-4P , adjustments are as follows. Step 2. If the payee completes Step 2, the payer will use the amount in Step 2(b)(iii) from a 2022 or later Form W-4P in Worksheet 1B to figure income tax withholding. Tip: Consider advising payees to use the IRS T', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. decrease the amount of taxes withheld and amounts to in- crease or decrease the amount of wage income subject to income tax withholding. Form W-4 contains 5 steps. Every Form W-4 employers receive from an employee in 2020 or later should show a completed Step 1 (name, address, social security number (SSN), and filing status) and a dated signature in Step 5. Employees complete Steps 2, 3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding', '2u $ Step 3. Account for tax credits 3a If the payee has submitted a Form W-4P for 2022 or later, enter the amount from Step 3 of that form; otherwise, enter -0- ...................................................................... 3a $ 3b Subtract line 3a from line 2u. If zero or less, enter -0- .......................................... 3b $ Step 4. Figure the final amount to withhold 4a Divide the amount on line 3b by the number of payment periods from line 1b .......................... 4a $ 4b Enter the additional amount to withhold from the payee’s Form W-4P (Step 4(c) of the 2022 or later Form W-4P or line 3 of the 2021 or earlier Form W-4P)', 'selected “Married” as their marital sta- tus on their 2019 or earlier Form W-4. Y ou can’t con- vert an employee to a filing status of “Head of house- hold” using this computational bridge. 2. Enter an amount in Step 4(a) on a 2020 or later Form W-4 based on the filing status that you determined in (1) above when you converted the employee’s marital status on a 2019 or earlier Form W-4. Enter $8,600 if the employee’s filing status is “Single or Married filing separately” or $12,900 if the employee’s filing status is “Married filing jointly.” 3. Multiply the number of allowances claimed on line 5 of an employee’s 2019 or earlier Form W-4 by $4,300 and enter the result in Step 4(b) on a 2020', 'employee HAS submitted a Form W-4 for 2020 or later, figure the Adjusted Annual Wage Amount as follows. 1d Enter the amount from Step 4(a) of the employee’s Form W-4 ................................. 1d $ 1e Add lines 1c and 1d .............................................................. 1e $ 1f Enter the amount from Step 4(b) of the employee’s Form W-4 ................................. 1f $ 1g If the box in Step 2 of Form W-4 is checked, enter -0-. If the box is not checked, enter $12,900 if the taxpayer is married filing jointly or $8,600 otherwise .............................................. 1g $ 1h Add lines 1f and 1g .............................................................. 1h']","Form W-4 contains five steps. Every Form W-4 received from an employee in 2020 or later should show a completed Step 1 and a dated signature in Step 5. Employees complete Steps 2, 3, and/or 4 when relevant to their personal situations.",0.99999999998,1.0
gd_006,no_rerank,What happens when an employee checks the Step 2 checkbox on Form W-4?,"['employee HAS submitted a Form W-4 for 2020 or later, figure the Adjusted Annual Wage Amount as follows. 1d Enter the amount from Step 4(a) of the employee’s Form W-4 ................................. 1d $ 1e Add lines 1c and 1d .............................................................. 1e $ 1f Enter the amount from Step 4(b) of the employee’s Form W-4 ................................. 1f $ 1g If the box in Step 2 of Form W-4 is checked, enter -0-. If the box is not checked, enter $12,900 if the taxpayer is married filing jointly or $8,600 otherwise .............................................. 1g $ 1h Add lines 1f and 1g .............................................................. 1h', '3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding calculations. For employees who don’t complete any steps other than Step 1 and Step 5, employers withhold the amount based on the filing status, wage amounts, and payroll pe- riod. But see Exemption from withholding, later. For employees completing one or more of Steps 2, 3, and/or 4 on Form W-4, adjustments are as follows. Step 2. If the employee checks the box in Step 2, the employer figures withholding from the “Form W -4, Step 2, Checkbox” column in the Percentage Method or Wage Bracket Method tables. This results in higher withholding for the employee. If the employee', 'withholding. Form W -4P contains 5 steps. Every Form W-4P payers receive from a payee in 2022 or later should show a completed Step 1 (name, address, SSN, and filing status) and a dated signature in Step 5. Payees complete Steps 2, 3, and/or 4 only if relevant to their personal situa- tions. Steps 2, 3, and 4 show adjustments that affect with- holding calculations. For payees completing one or more of Steps 2, 3, and/or 4 on a 2022 or later Form W-4P , adjustments are as follows. Step 2. If the payee completes Step 2, the payer will use the amount in Step 2(b)(iii) from a 2022 or later Form W-4P in Worksheet 1B to figure income tax withholding. Tip: Consider advising payees to use the IRS T', 'who made a mid-year change may be underwithheld or overwithheld once their Form W -4 is ap- plied to the next full calendar year. New employee fails to furnish Form W -4. A new em- ployee who fails to furnish a Form W -4 will be treated as if they had checked the box for Single or Married filing sepa- rately in Step 1(c) and made no entries in Step 2, Step 3, or Step 4 of Form W -4. However, an employee who was paid wages before 2020 and who failed to furnish a Form W-4 should continue to be treated as Single and claiming zero allowances on a 2019 or earlier Form W-4. Exemption from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c)', 'steps that limit the amount of text that is viewable, the toggles must be off as the default. If the electronic system places steps on differ- ent pages, users must be required to go to each page be- fore they may electronically sign the form. The electronic system must also include a hyperlink to Form W -4 on and/or include the pages 2–5 instructions and worksheets in their entirety in the electronic system inter- face itself (inclusion of only some of this information re- quires a link to the form). Field required for claiming “Exempt.” The electronic Form W-4 system must provide a checkbox for employees who are eligible and want to claim an exemption from with- holding to certify that']","If the employee checks the Step 2 checkbox, the employer figures withholding using the Form W-4 Step 2 Checkbox column in the Percentage Method or Wage Bracket Method tables. This results in higher withholding for the employee.",0.999999999975,1.0
gd_007,no_rerank,How does Step 3 of Form W-4 affect federal income tax withholding?,"['withholding. Form W -4P contains 5 steps. Every Form W-4P payers receive from a payee in 2022 or later should show a completed Step 1 (name, address, SSN, and filing status) and a dated signature in Step 5. Payees complete Steps 2, 3, and/or 4 only if relevant to their personal situa- tions. Steps 2, 3, and 4 show adjustments that affect with- holding calculations. For payees completing one or more of Steps 2, 3, and/or 4 on a 2022 or later Form W-4P , adjustments are as follows. Step 2. If the payee completes Step 2, the payer will use the amount in Step 2(b)(iii) from a 2022 or later Form W-4P in Worksheet 1B to figure income tax withholding. Tip: Consider advising payees to use the IRS T', 'Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. decrease the amount of taxes withheld and amounts to in- crease or decrease the amount of wage income subject to income tax withholding. Form W-4 contains 5 steps. Every Form W-4 employers receive from an employee in 2020 or later should show a completed Step 1 (name, address, social security number (SSN), and filing status) and a dated signature in Step 5. Employees complete Steps 2, 3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding', '3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding calculations. For employees who don’t complete any steps other than Step 1 and Step 5, employers withhold the amount based on the filing status, wage amounts, and payroll pe- riod. But see Exemption from withholding, later. For employees completing one or more of Steps 2, 3, and/or 4 on Form W-4, adjustments are as follows. Step 2. If the employee checks the box in Step 2, the employer figures withholding from the “Form W -4, Step 2, Checkbox” column in the Percentage Method or Wage Bracket Method tables. This results in higher withholding for the employee. If the employee', 'from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c) shall have no federal income tax withheld from their paychecks except in the case of certain supple- mental wages. Generally, an employee may claim exemp- tion from federal income tax withholding because they had no federal income tax liability last year and expect none this year. See the Form W-4 instructions for more informa- tion. Substitute Submissions of Form W-4 General requirements for any system set up to electroni- cally receive a Form W -4 or Form W -4P are discussed earlier under Electronic submission of Forms W -4 and W-4P. This section provides specific requirements', 'spouse if married filing jointly), or number of depend- ents. Step 3. Payers use the amount on this line as an annual reduction in the amount of withholding. Payers should use the amount the payee entered as the total in Step 3 of Form W -4P even if it is not equal to the sum of any amounts entered on the left in Step 3 because the total may take into account other tax credits. If the Step 3 total is blank, but there are amounts entered in Step 3(a), 3(b) or 3(c), the payer may ask the payee if leaving the line blank was intentional. Steps 4(a) and 4(b). Payers increase the annual amount of pension/annuity payments subject to income tax with- holding by the annual amount shown in Step 4(a)']",The employer uses the amount entered in Step 3 as an annual reduction in the amount of withholding. The employer should use the total entered in Step 3 even if it is not equal to the sum of the individual amounts entered there.,0.94999999997625,1.0
gd_008,no_rerank,"What do Steps 4(a), 4(b), and 4(c) do on Form W-4?","['Fileid: … ation-15-t/2026/a/xml/cycle07/source 15:14 - 3-Dec-2025 The type and rule above prints on all proofs including departmental reproduction proofs. MUST be removed before printing. decrease the amount of taxes withheld and amounts to in- crease or decrease the amount of wage income subject to income tax withholding. Form W-4 contains 5 steps. Every Form W-4 employers receive from an employee in 2020 or later should show a completed Step 1 (name, address, social security number (SSN), and filing status) and a dated signature in Step 5. Employees complete Steps 2, 3, and/or 4 only if relevant to their personal situations. Steps 2, 3, and 4 show adjust- ments that affect withholding', 'withholding. Form W -4P contains 5 steps. Every Form W-4P payers receive from a payee in 2022 or later should show a completed Step 1 (name, address, SSN, and filing status) and a dated signature in Step 5. Payees complete Steps 2, 3, and/or 4 only if relevant to their personal situa- tions. Steps 2, 3, and 4 show adjustments that affect with- holding calculations. For payees completing one or more of Steps 2, 3, and/or 4 on a 2022 or later Form W-4P , adjustments are as follows. Step 2. If the payee completes Step 2, the payer will use the amount in Step 2(b)(iii) from a 2022 or later Form W-4P in Worksheet 1B to figure income tax withholding. Tip: Consider advising payees to use the IRS T', 'W -4. In particular, electronic Form W-4 systems set up as a substitute to pa- per Forms W-4 must exactly replicate the text and instruc- tions from the face of the paper Form W -4 beginning with Step 1(c) through Step 4(c) (inclusive), and the “Exempt from withholding” section below Step 4(c), and must allow an employee access to and use of all parts of the calcula- tion shown on the paper Form W-4 and its worksheets. No pop-ups or hoverboxes within those steps are per- mitted for displaying such required information, and if the electronic system has toggles for those steps that limit the amount of text that is viewable, the toggles must be off as the default. If the electronic system', 'for 2022 or later AND Step 2(b)(iii) of Form W-4P contains a non-zero amount, complete Parts I, II, and III of Step 2. Otherwise, complete Parts I and III only. Part I: If the payee HAS submitted a Form W-4P for 2022 or later AND Step 2(b)(iii) of Form W-4P contains a non-zero amount, complete lines 2a–2c and then resume on line 2e. Otherwise, begin on line 2d. 2a Enter the amount from Step 2(b)(iii) of Form W-4P ........................................... 2a $ 2b Enter $12,900 if the taxpayer is married filing jointly or $8,600 otherwise ............................. 2b $ 2c Subtract line 2b from line 2a. (If the result is zero or less, enter -0-.) Then skip to line 2e ...................', 'claimed on line 5 of an employee’s 2019 or earlier Form W-4 by $4,300 and enter the result in Step 4(b) on a 2020 or later Form W-4. 4. Enter the additional amount of withholding requested by the employee on line 6 of their 2019 or earlier Form W-4 in Step 4(c) of a 2020 or later Form W-4. Caution: This computational bridge applies only for Forms W-4 that were in effect on or before December 31, 2019, and that continue in effect because an employee didn’t submit a 2020 or later Form W -4. If an employee is required, or chooses, to submit a new Form W -4, it doesn’t change the requirement that the employee must use the current year’s revision of Form W -4. Upon putting into effect a new Form']",Step 4(a) increases the annual amount of wages subject to income tax withholding. Step 4(b) reduces the annual amount of wages subject to income tax withholding. Step 4(c) increases withholding by the per-pay-period tax amount entered by the employee.,0.19999999998,0.0
gd_009,no_rerank,What happens if a new employee does not furnish Form W-4?,"['who made a mid-year change may be underwithheld or overwithheld once their Form W -4 is ap- plied to the next full calendar year. New employee fails to furnish Form W -4. A new em- ployee who fails to furnish a Form W -4 will be treated as if they had checked the box for Single or Married filing sepa- rately in Step 1(c) and made no entries in Step 2, Step 3, or Step 4 of Form W -4. However, an employee who was paid wages before 2020 and who failed to furnish a Form W-4 should continue to be treated as Single and claiming zero allowances on a 2019 or earlier Form W-4. Exemption from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c)', 'a web address where the payee can find them on . Employers are prohibited from accepting a substitute form developed by an employee, and an employee fur- nishing such form must be treated as failing to furnish a Form W-4. How To Treat 2019 and Earlier Forms W-4 as if They Were 2020 or Later Forms W-4 Employers may use an optional computational bridge to treat 2019 and earlier Forms W -4 as if they were 2020 or later Forms W -4 for purposes of figuring federal income tax withholding. This computational bridge allows you to use computational procedures and data fields for a 2020 and later Form W -4 to arrive at the equivalent withholding for an employee that would have applied using the', 'from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c) shall have no federal income tax withheld from their paychecks except in the case of certain supple- mental wages. Generally, an employee may claim exemp- tion from federal income tax withholding because they had no federal income tax liability last year and expect none this year. See the Form W-4 instructions for more informa- tion. Substitute Submissions of Form W-4 General requirements for any system set up to electroni- cally receive a Form W -4 or Form W -4P are discussed earlier under Electronic submission of Forms W -4 and W-4P. This section provides specific requirements', 'requirement that the employee must use the current year’s revision of Form W -4. Upon putting into effect a new Form W -4 from an employee, you must stop using this computational bridge for the applicable year of the new Form W-4. An employer using the compu- tational bridge for a Form W -4 furnished by an employee must retain the Form W-4 for its records. Lock-in letters. The IRS may have notified you in writing that the employee must use a specific marital status and is limited to a specific number of allowances in a letter (com- monly referred to as a “lock -in letter”) applicable before 2020. For more information about lock -in letters, see sec- tion 9 of Pub. 15. For lock -in letters', 'received a 2022 or later Form W-4P , a payee who received the first periodic pension or annuity payment in 2022 but who failed to fur- nish such a 2021 Form W -4P will continue be treated as if they had no entries on lines 1 and 3 and completed line 2 indicating a status of Married, and claiming 3 allowances. In the case of a payer that used the 2021 Form W -4P and hasn’t received a 2022 or later Form W -4P , a payee who received the first periodic pension or annuity payment in 2022 but who failed to provide a correct SSN on the 2021 Form W-4P will continue to be treated as if they had no entries on lines 1 and 3 and had completed line 2 indicat- ing a status of Single, and claiming zero']","A new employee who fails to furnish Form W-4 is treated as if they checked Single or Married filing separately in Step 1(c) and made no entries in Steps 2, 3, or 4. An employee who was paid wages before 2020 and failed to furnish Form W-4 continues to be treated as Single and claiming zero allowances on a 2019 or earlier Form W-4.",0.99999999998,1.0
gd_010,no_rerank,When can an employee claim exemption from federal income tax withholding?,"['from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c) shall have no federal income tax withheld from their paychecks except in the case of certain supple- mental wages. Generally, an employee may claim exemp- tion from federal income tax withholding because they had no federal income tax liability last year and expect none this year. See the Form W-4 instructions for more informa- tion. Substitute Submissions of Form W-4 General requirements for any system set up to electroni- cally receive a Form W -4 or Form W -4P are discussed earlier under Electronic submission of Forms W -4 and W-4P. This section provides specific requirements', 'provide a checkbox for employees who are eligible and want to claim an exemption from with- holding to certify that they are exempt immediately below or after Step 4(c) to allow users to elect no withholding 4 (2026)', 'who made a mid-year change may be underwithheld or overwithheld once their Form W -4 is ap- plied to the next full calendar year. New employee fails to furnish Form W -4. A new em- ployee who fails to furnish a Form W -4 will be treated as if they had checked the box for Single or Married filing sepa- rately in Step 1(c) and made no entries in Step 2, Step 3, or Step 4 of Form W -4. However, an employee who was paid wages before 2020 and who failed to furnish a Form W-4 should continue to be treated as Single and claiming zero allowances on a 2019 or earlier Form W-4. Exemption from withholding. Employees who check the box for exemption from federal income tax withholding below Step 4(c)', 'The 2026 Form W-4 was also updated to add a new checkbox below Step 4(c) for an employee to claim ex- emption from federal income tax withholding. Previously, the employee wrote “Exempt” below Step 4(c). 2026 Form W-4P . Form W-4P , Withholding Certificate for Periodic Pension or Annuity Payments, has been updated for 2026 to account for new federal income tax deductions under P .L. 119-21 that are available to payees when they T (2026) Catalog Number 32112B Dec 3, 2025 Department of the T reasury Internal Revenue Service www.irs.gov', 'and 1099-NEC) with the SSA or IRS, as applicable, and fur- nish statements to overtime recipients showing qualified overtime compensation paid during the year. However, the IRS has provided transition relief to employers and payers for the tax year 2025 reporting requirements. For more in- formation, see Notice 2025-62. Reminders IRS Tax Withholding Estimator. Employees and payees may use the IRS T ax Withholding Estimator, available at /W4App, when completing their Form W -4 or their Form W-4P . Form W -4P and Form W -4R. Form W -4P was rede- signed for 2022. Form W -4P is now used only to make withholding elections for periodic pension or annuity pay- ments. Previously, Form W -4P was']","An employee who checks the exemption box below Step 4(c) will generally have no federal income tax withheld from their paychecks, except in the case of certain supplemental wages. Generally, an employee may claim exemption because they had no federal income tax liability last year and expect none this year.",0.999999999975,1.0
