loader,question_id,keyword_coverage,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_10
pypdf,gd_001,0.0,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_002,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_003,0.6666666666666666,0.0,1.0,1.0,1.0,0.3333333333333333,0.5706417189553201
pypdf,gd_004,0.0,0.0,0.0,0.0,1.0,0.1,0.2890648263178879
pypdf,gd_005,0.25,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_007,1.0,0.0,0.0,1.0,1.0,0.2,0.47084972088011423
pypdf,gd_008,0.8,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_009,0.5,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_010,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8899603164338973
pypdf,gd_011,0.5,0.0,1.0,1.0,1.0,0.3333333333333333,0.73672839926874
pypdf,gd_012,0.75,1.0,1.0,1.0,1.0,1.0,0.9537123696623918
pypdf,gd_013,0.4,0.0,1.0,1.0,1.0,0.3333333333333333,0.5936788073725308
pypdf,gd_014,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_015,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_018,0.25,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_019,0.5,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_020,1.0,1.0,1.0,1.0,1.0,1.0,0.9537123696623918
pypdf,gd_021,0.5,1.0,1.0,1.0,1.0,1.0,0.9838048780283076
pypdf,gd_022,0.75,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_023,0.75,0.0,0.0,0.0,0.0,0.0,0.0
pypdf,gd_024,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_025,1.0,1.0,1.0,1.0,1.0,1.0,0.9267582364714125
pypdf,gd_026,0.75,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_027,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pypdf,gd_028,1.0,1.0,1.0,1.0,1.0,1.0,0.9799214801447084
pypdf,gd_029,0.75,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_030,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pymupdf4llm,gd_001,0.0,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
pymupdf4llm,gd_002,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
pymupdf4llm,gd_003,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
pymupdf4llm,gd_004,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.3333333333333333
pymupdf4llm,gd_005,0.75,1.0,1.0,1.0,1.0,1.0,1.0
pymupdf4llm,gd_006,1.0,1.0,1.0,1.0,1.0,1.0,0.8772153153380493
pymupdf4llm,gd_007,0.6666666666666666,0.0,1.0,1.0,1.0,0.3333333333333333,0.5
pymupdf4llm,gd_008,1.0,0.0,0.0,1.0,1.0,0.25,0.43067655807339306
pymupdf4llm,gd_009,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
pymupdf4llm,gd_010,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
pymupdf4llm,gd_011,0.5,0.0,1.0,1.0,1.0,0.5,0.781651097425878
pymupdf4llm,gd_012,0.75,1.0,1.0,1.0,1.0,1.0,0.8485833840018
pymupdf4llm,gd_013,0.4,1.0,1.0,1.0,1.0,1.0,0.9176551163528843
pymupdf4llm,gd_014,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
pymupdf4llm,gd_015,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pymupdf4llm,gd_016,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pymupdf4llm,gd_017,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pymupdf4llm,gd_018,0.25,1.0,1.0,1.0,1.0,1.0,1.0
pymupdf4llm,gd_019,0.75,1.0,1.0,1.0,1.0,1.0,1.0
pymupdf4llm,gd_020,1.0,1.0,1.0,1.0,1.0,1.0,0.9469024295259745
pymupdf4llm,gd_021,0.5,1.0,1.0,1.0,1.0,1.0,1.0
pymupdf4llm,gd_022,0.75,1.0,1.0,1.0,1.0,1.0,0.8065735963827293
pymupdf4llm,gd_023,0.75,1.0,1.0,1.0,1.0,1.0,1.0
pymupdf4llm,gd_024,1.0,1.0,1.0,1.0,1.0,1.0,1.0
