question_id,user_input,reference,llm_context_precision_with_reference_no_rerank,context_recall_no_rerank,llm_context_precision_with_reference_reranked,context_recall_reranked,llm_context_precision_with_reference_delta,llm_context_precision_with_reference_improved,context_recall_delta,context_recall_improved
gd_001,What is IRS Publication 15-T used for?,IRS Publication 15-T provides federal income tax withholding methods for use in 2026. It includes withholding tables and methods for figuring federal income tax withholding.,0.7499999999625,1.0,0.699999999965,0.5,-0.049999999997500044,False,-0.5,False
gd_002,What changed in the 2026 federal income tax withholding tables?,"The 2026 federal income tax withholding tables were updated for changes made by P.L. 119-21, including the permanent extension of individual tax rates, the permanent extension of the increased standard deduction, and the permanent termination of personal exemptions.",0.9999999999666667,1.0,0.9166666666361111,1.0,-0.08333333333055559,False,0.0,False
gd_003,What are the main withholding methods covered by Publication 15-T?,"Publication 15-T covers the Percentage Method and Wage Bracket Method, including versions for automated payroll systems and manual payroll systems. It also includes alternative methods for figuring withholding.",0.8333333332916666,1.0,0.7555555555303703,1.0,-0.07777777776129624,False,0.0,False
gd_004,What information does an employee provide on Form W-4 from 2020 or later?,"Beginning with the 2020 Form W-4, employees no longer request withholding adjustments using withholding allowances. Instead, they provide amounts to increase or decrease the amount of taxes withheld and amounts to increase or decrease the amount of wage income subject to income tax withholding.",0.99999999998,1.0,0.5333333333155555,1.0,-0.46666666666444445,False,0.0,False
gd_005,What are the five steps on Form W-4?,"Form W-4 contains five steps. Every Form W-4 received from an employee in 2020 or later should show a completed Step 1 and a dated signature in Step 5. Employees complete Steps 2, 3, and/or 4 when relevant to their personal situations.",0.99999999998,1.0,0.999999999975,1.0,-5.000000413701855e-12,False,0.0,False
gd_006,What happens when an employee checks the Step 2 checkbox on Form W-4?,"If the employee checks the Step 2 checkbox, the employer figures withholding using the Form W-4 Step 2 Checkbox column in the Percentage Method or Wage Bracket Method tables. This results in higher withholding for the employee.",0.999999999975,1.0,0.9999999999666667,1.0,-8.333334022836425e-12,False,0.0,False
gd_007,How does Step 3 of Form W-4 affect federal income tax withholding?,The employer uses the amount entered in Step 3 as an annual reduction in the amount of withholding. The employer should use the total entered in Step 3 even if it is not equal to the sum of the individual amounts entered there.,0.94999999997625,1.0,0.8874999999778125,1.0,-0.06249999999843747,False,0.0,False
gd_008,"What do Steps 4(a), 4(b), and 4(c) do on Form W-4?",Step 4(a) increases the annual amount of wages subject to income tax withholding. Step 4(b) reduces the annual amount of wages subject to income tax withholding. Step 4(c) increases withholding by the per-pay-period tax amount entered by the employee.,0.19999999998,0.0,0.9999999999,0.0,0.79999999992,True,0.0,False
gd_009,What happens if a new employee does not furnish Form W-4?,"A new employee who fails to furnish Form W-4 is treated as if they checked Single or Married filing separately in Step 1(c) and made no entries in Steps 2, 3, or 4. An employee who was paid wages before 2020 and failed to furnish Form W-4 continues to be treated as Single and claiming zero allowances on a 2019 or earlier Form W-4.",0.99999999998,1.0,0.99999999998,1.0,0.0,False,0.0,False
gd_010,When can an employee claim exemption from federal income tax withholding?,"An employee who checks the exemption box below Step 4(c) will generally have no federal income tax withheld from their paychecks, except in the case of certain supplemental wages. Generally, an employee may claim exemption because they had no federal income tax liability last year and expect none this year.",0.999999999975,1.0,0.99999999998,1.0,5.000000413701855e-12,True,0.0,False
